'di	d i
karakarakang	k a r a k a r a k a ng
karamay	k a r a m ay
karamihan	k a r a m i h a n
karanasan	k a r a ny a s a n
karangalan	k a r a ng a l a n
karangyaan	k a r a ng y a q a n
karaniwan	k a r a n i w a n
karapatan	k a r a p a t a n
karayom	k a r a y o m
karayon	k a r a y o n
kare-kare	k a r e k a r e
karen	k a r e n
karlo	k a r l o
karne	k a r n
karneng	k a r n e ng
kasabay	k a s a b ay
kasabihan	k a s a b i h a n
kasaganaan	k a s a g a n a q a n
kasagutan	k a s a g u t a n
kasakiman	k a s a k i m a n
kasal	k a s a l
kasalanan	k a s a l a n a n
kasalatan	k a s a l a t a n
kasali	k a s a l i q
kasalukuyan	k a s a l u k u y a n
kasalukuyang	k a s a l u k u y a ng
kasama	k a s a m a
kasamaan	k a s a m a q a n
kasamahan	k a s a m a h a n
kasamang	k a s a m a ng
kasambahay	k a s a m b a h ay
kasauluyang	k a s a q u l u y a ng
kasaysayan	k a s a y s a y a n
kasi	k a s i
kasiglahan	k a s i g l a h a n
kasintahan	k a s i n t a h a n
kasiyahan	k a s i y a h a n
kaso	k a s o
kasoy	k a s oy
kassen	k a s e n
kastanyog	k a s t a ny o g
kastila	k a s t i l a
kastilang	k a s t i l a ng
kasukasuan	k a s u k a s u q a n
kasukat	k a s u k a t
kasulatan	k a s u l a t a n
kasundo	k a s u n d o
kasunduang	k a s u n d u q a ng
kasunod	k a s u n o d
kasuy	k a s u y
kat	k a t
kataas	k a t a q a s
katabi	k a t a b i q
katagal	k a t a g a l
katagalugan	k a t a l g a l u g a n
katahimikan	k a t a h i m i k a n
kataksilan	k a t a k s i l a n
katalasan	k a t a l a s a n
katalik	k a t a l i k
katalinuhan	k a t a l i n u h a n
katam-is	k a t a m q i s
katambal	k a t a m b a l
katamisan	k a t a m i s a n
katamtamang	k a t a m t a m a ng
katanghaliang-tapat	k a t a ng h a l i q a ng t a p a t
katangiang	k a t a ng i q a ng
katapangan	k a t a p a ng a n
katapat	k a t a p a t
katapusan	k a t a p u s a n
katapusang	k a t a p u s a ng
katawan	k a t a w a n
kate	k ey t
katipunan	k a t i p u n a n
katiwalian	k a t i w a l i q a n
katotohanan	k a t u t u h a n a n
katotohanang	k a t u t u h a n a ng
katrina	k a t er i n a
katukayo	k a t u k a y o q
katulad	k a t u l a d
katulong	k a t u l u ng
katumbas	k a t u m b a s
katunayan	k a t u n a y a n
katunggali	k a t u ng g a l i q
katuparan	k a t u p a r a n
katutubo	k a t u t u b o q
katuwang	k a t u w a ng
katuwiran	k a t w i r a n
kaugalian	k a q u g a l i q a n
kaugaliang	k a q u g a l i q a ng
kaugnay	k a q u g n a y
kaugnayan	k a q u g n a y a n
kaukulang	k a q u k u l a ng
kaulayaw	k a q u l a y aw
kauna-unahang	k a q u n a q u n a h a ng
kaunlara't	k a q u n l a r a t
kaunting	k a q u n t i ng
kausap	k a q u s a p
kausapin	k a q u s a p i n
kautusan	k a q u t u s a n
kawal	k a w a l
kawal-amerikanong	k a w a l q a m e r i k a n o ng
kawalan	k a w a l a n
kawalang-hanggan	k a w a l a ng h a ng g a n
kawili-wili	k a w i l i q w i l i q
kawilihan	k a w i l i h a n
kay	k ay
kaya	k a y a
kaya't	k a y a t
kaya'y	k a y ay
kaya-kaya	k a y a k a y a
kayang	k a y a ng
kayat	k a y a t
kayo	k a y o q
kayong	k a y o ng
kaysa	k a y s a
keep	k e p
kennon	k e n o n
kesong	k e s o ng
ketoconazole	k e t o k o n a z o l
khalid	k h a l i d
kibo	k i b o
kidlat	k i d l a t
kiko	k i k o
kilabot	k i l a b o t
kilala	k i l a l a
kilala't	k i l a l a t
kilalang	k i l a l a ng
kilalanin	k i l a l a n i n
kilawin	k i l a w i n
kilay	k i l ay
kili-kili	k i l i q k i l i q
kilikili	k i l i k i l i q
kilo	k i l o q
kilogram	k i l o g r a m
kilos	k i l o s
kim	k i m
kina	k i n a
kinaaawaan	k i n a q a w a q a n
kinaawaan	k i n a a w a q a n
kinabukasan	k i n a b u k a s a n
kinagabihan	k i n a g a b i h a n
kinahiratihang	k i n a h i r a t i h a ng
kinain	k i n a q i n
kinakailangan	k i n a k ay l a ng a n
kinakapatid	k i n a k a p a t i d
kinakasama	k i n a k a s a m a
kinakausap	k i n a k a q u s a p
kinakitaan	k i n a k i t a q a n
kinalalagyan	k i n a l a l a g y a n
kinalaman	k i n a l a m a n
kinalulugdan	k i n a l u l u g d a n
kinaumagahan	k i n a q u m a g a h a n
kinauukulan	k i n a q u q u k u l a n
kinikita	k i n i k i t a
kinilaw	k i n i l aw
kinuha	k i n u h a
kirot	k i r u t
kisig	k i s i g
kita	k i t a
kita-kita-kita	k i t a k i t a k i t a q
kitchen	k i ch e n
kitikiti	k i t i k i t i
klase	k l a s i
klenk	k l i ng k
klima	k l i m a
knapsack	k n a p s a k
ko	k o
ko'y	k oy
kobunsha	k o b u n s h a q
kokak	k o k a k
koleksyon	k o l e k sh uh n
kolektahin	k o l e k t a h i n
kombinasyon	k o m b i n a sh y u n
komedi	k u m i d i
kompanya	k o m p a ny a
kompanyang	k uh m p a ny a ng
kondisyon	k u n d i sh u n
kong	k o ng
kongresman	k o ng g r e s m a n
konstruksyon	k o n s t r u k sh o n
kontra	k o n t r a
kontrata	k o n t r a t a
kontrobersyal	k o n t r o b e er sh a l
kopyahin	k o p y a h i n
korte	k o r t i
kow	k ow
kriminal	k r i m i n a l
krisis	k r i s i s
kristiyanismo	k r i s ch a n i s m o
krudo	k r u d o
krus	k r u s
kubo	k u b o q
kudarat	k u d a r a t
kuhanin	k u h a n i n
kuko	k u k o
kukong	k u k o ng
kulang	k u l a ng
kulay	k u l ay
kulayan	k u l a y a n
kulelat	k u l i l a t
kulo	k u l o
kulog	k u l o g
kulturang	k u l t u r a ng
kumain	k u m a q i n
kumakain	k u m a g k a q i n
kumakapit	k u m a k a p i t
kumakatawan	k u m a k a t a w a n
kumalat	k u m a l a t
kumanta	k u m a n t a
kumare	k u m a r e
kumawala	k u m a w a l a q
kumibo	k u m i b o
kumikilos	k u m i k i l o s
kumilos	k u m i l o s
kumita	k u m i t a
kumot	k u m o t
kumpanya	k u m p a ny a
kumpara	k u m p a r a
kumpare	k u m p a r e
kumpiyansa	k o m p y a n s a
kumpleto	k u m p l e t o
kumpletuhin	k u m p l e t u h i n
kumuha	k u m u h a q
kumukulong	k u m u k u l o ng
kumusta	k u m u s t a
kundi	k u n d i q
kung	k o ng
kunin	k u n i n
kunwa'y	k u n w ay
kunwaring	k u n w a r i ng
kuru-kuro	k o r o k u r o
kuryente	k u r y e n t e
kusa	k u s a
kusang	k u s a ng
kusina	k u s i n a
kuto	k u t o
kutob	k u t u b
kutsinta	k u ch i n t a q
kutson	k u t s o n
kuwaiti	k u w ey t i q
kuwelyo	k u w e ly o q
kuwento	k u w e n t o
kuwento'y	k u w e n t oy
kuwentong	k u w e n t o ng
kuya	k u y a
kuyukot	k u y u k o t
kwaderno	k w a d e r n o
kwadernong	k w a d e r n o ng
kwento	k w e n t o
la	l a
la-ang	l a q a ng
laban	l a b a n
labanan	l a b a n a n
labas	l a b a s
labasan	l a b a s a n
labi	l a b i
labi-labi	l a b i l a b I q
labindalawang	l a b i n d a l a w a ng
labing	l a b i ng
labing-anim	l a b i ng q a n i m
labing-apat	l a b i ng q a p a t
labing-isa	l a b i ng q i s a
labing-isang	l a b i ng q i s a ng
labing-limang	l a b i ng q l i m a ng
labingdalawa	l a b i ng d a l a w a
labinglima	l a b i ng l i m a
labingpito	l a b i ng p i t o
labingsiyam	l a b i ng s i y a m
labingtatlo	l a b i ng t a t l o
labingwalo	l a b i ng w a l o
labinlimang	l a b i n l i m a ng
labintatlong	l a b i n t a t l o ng
labis	l a b i s
labor	l a b o r
lacdang	l a k d a ng
lagapak	l a g a p a k
lagayan	l a g a y a n
lagi	l a g i
laging	l a g i ng
lagnat	l a g n a t
lagot	l a g u t
lagpas	l a g p a s
laguna	l a g u n a
lagyan	l a g y a n
lahat	l a h a t
lahi	l a h i
lahing	l a h i ng
laing	l a q i ng
lakad	l a k a d
lakarin	l a k a r i n
lakas	l a k a s
lakasan	l a k a s a n
lake	l a k i
laking	l a k i ng
lala-lala	l a l a q l a l a q
lalabas	l a l a b a s
lalagdaan	l a l a g d a q a n
lalago	l a l a g o q
lalagyan	l a l a g y a n
lalagyang	l a l a g y a ng
lalakas	l a l a k a s
lalake	l a l a k i
lalakeng	l a l a k i ng
lalaki	l a l a k i
lalaking	l a l a k i ng
lalamunan	l a l a m u n a n
lalapit	l a l a p i t
lalawigan	l a l a w i g a n
lalawigang	l a l a w i g a ng
lalayo	l a l a y o q
lalo	l a l o
lalo't	l a l o t
lalong	l a l o ng
lalu	l a l o
laluna	l a l u n a
lalung	l a l o ng
lalung-lalo	l a l o ng q l a l o
laman	l a m a n
lamang	l a m a ng
lamesa	l a m e s a
lamig	l a m i g
lamitan	l a m i t a n
lamok	l a m o k
lancaster	l a n k a s t e r
land	l a n d
landas	l a n d a s
lane	l ey n
lang	l a ng
langaw	l a ng aw
langgam	l a ng g a m
langis	l a ng i s
langit	l a ng i t
laoag	l a w a g
laon	l a q o n
lapis	l a p i s
lapu-lapu	l a p u l a p u
larangan	l a r a ng a n
larawan	l a r a w a n
larawang	l a r a w a ng
laruan	l a r u q a n
las	l a s
lasa	l a s a
lasang	l a s ang
lasing	l a s i ng
latay	l a t ay
latin	l a t i n
lawa	l a w a
lawing	l a w i ng
laws	l a w s
layon	l a y u n
layunin	l a y u n i n
lazaro	l a z a r o
le	l e
leader	l e y a d er
leah	l e y a
leandro	ly a n d r o
lebel	l e b e l
lecaros	l e k a r u s
leche	l e ch e
lechon	l e ch o n
leeg	l e q e g
legal	l e g a l
legaspi	l e g a z p i
legazpi	l e g a z p i
legazpo	l e g a z p i
lenny	l e n i
lente	l e n t e
lepanto	l i p a n t o
lester	l e s t er
letra	l e t r a
level	l e v e l
levels	l e v e l s
lgu	l g
lgus	l g u s
liban	l i b a n
libingan	l i b i ng a n
libo	l i b o
libo't	l i b o t
libong	l i b o ng
libreng	l i b e
libro	l i b r o
librong	l i b r o ng
libu-libong	l i b o l i b o ng
lider	l i d e er
liderato	l i d e er a t o
life	l ay f
ligaw	l i g aw
ligaw-ligaw	l i g aw l i g aw
ligaya	l i g a y a
lighthouses	l ay t h aw s e s
lights	l ay t s
ligtas	l i g t a s
liha-liha	l i h a l i h a q
lihim	l i h i m
likas	l i k a s
like	l ay k
likha	l i k a
likod	l i k o d
likuran	l i k o r a n
liliban	l i l i b a n
lilim	l i l i m
lim	l i m
lima	l i m a
limampu	l i m a m p u
limampu't	l i m a m p u t
limampung	l i m a m p u ng
limang	l i m a ng
limit	l i m i t
limited	l i m i t d
limits	l i m i t s
lina	l i n a
linden	l i n d e n
lindol	l i n d o l
lingap	l i ng a p
linggo	l i ng g o q
lingo	l i ng o
linisin	l i n i s i n
link	l i n k
linya	l i ny a
lipad	l i p a d
lipat	l i p a t
lipi	l i p i q
lipuna'y	l i p u n ay
lipunan	l i p u n a n
listahan	l i s t a h a n
listed	l i s t d
litid	l i t i d
lito	l i t o
litro	l i t r o
litrong	l i t r u ng
liwanag	l i w a n a g
loan	l u q a n
local	l o k a l
locator	l o k a t o r
lokal	l o k a l
lola	l o l a
lolo	l o l o
lolobo	l o l o b o
long	l o ng
longer	l ao ng er
longganisa	l o ng g a n i s a
loob	l o q o b
los	l o s
lotilla	l o t i ly a
lotion	l ow sh o n
lotus	l o t u s
lou	l u
lovely	l uh v l i
lpg	l p g
lpgma	l p g m a
lrta	l er t a
lrtone	l er t u n
ltd	l t d
lubak	l u b a k
lubha	l u b h a q
lubos	l u b u s
lucia	l u s i y a
lugar	l u g a r
lugaw	l u g aw
luha	l u h a q
luho	l u h o
luis	l u i s
luke	l u k
lulublob	l u l u b l u b
lulunurin	l u l u n u r i n
lumabas	l u m a b a s
lumakad	l u m a k a d
lumakas	l u m a k a s
lumaking	l u m a k i ng
lumala	l u m a l a
lumalabas	l u m a l a b a s
lumalabo	l u m a l a b o
lumalakad	l u m a l a k a d
lumalaki	l u m a l a k i
lumalala	l u m a l a l a
lumalangoy	l u m a l a ng oy
lumaon	l u m a q a n
lumapit	l u m a p i t
lumbia	l u m b i y a
lumiban	l u m i b a n
lumigaya	l u m i g a y a
lumikha	l u m i k h a q
lumiligid	l u m i l i g i d
lumilipad	l u m i l i p a d
lumingon	l u m i ng o n
lumipad	l u m i p a d
lumipas	l u m i p a s
lumipat	l u m i p a t
lumitaw	l u m i t aw
lumobo	l u m o b o
lumpia	l u m p i y a
lumulutang	l u m u l u t a ng
lumuluwas	l u m u l u w a s
lumunok	l u m u n o k
lumura	l u m u r a
lunas	l u n a s
lunday	l u n d ay
lunes	l u n e s
luneta	l u n e t a
lung	l o ng
lungga	l u ng g a q
lungsod	l u ng s o d
lunok	l u n o k
luntian	l u n t i q a n
luntiang	l u n t i q a ng
lunurin	l u n u r i n
lupa	l u p a
lupaing	l u p a i ng
lupon	l u p u n
lusng	l u s
lusong	l u s o ng
lusubin	l u s u b i n
lutuan	l u t u w a n
lutui	l u t u i q
m	m
ma'am	m a q a m
ma-export	m a q e k s p o er t
ma-expose	m a q e k s p ow s
ma-screen	m a q s k r i n
maaalat	m a q a q a l a t
maaantay	m a q a q a n t ay
maaapektuhan	m a q a q a p e k t u h a n
maaaprubahan	m a q a p r u b a h a n
maaari	m a q a q a r i
maaaring	m a q a q a r i ng
maaarte	m a q a a r t e
maaasahan	m a q a q a s a h a n
maabot	m a q a b o t
maaga	m a q a g a
maagang	m a q a g a ng
maagap	m a q a g a p
maagapan	m a q a g a p a n
maalam	m a q a l a m
maalamat	m a q a l a m a t
maalimuom	m a q a l i m u q u m
maalinsangan	m a q a l i n s a ng a n
maalis	m a q a l i s
maaliwalas	m a a l i w a l a s
maalong	m a q a l o ng
maambon	m a q a m b o n
maapektuhan	m a q a p e k t u h a n
maaraw	m a q a r aw
maari	m a q a r i
maaring	m a q a r i ng
maatim	m a q a t i m
maayos	m a q a y o s
mababa	m a b a b a
mababakas	m a b a b a k a s
mababang	m a b a b a ng
mababasa	m a b a b a s a
mababaw	m a b a b aw
mababawas	m a b a b a w a s
mababawasan	m a b a b a w a s a n
mababawi	m a b a b a w i
mababayaran	m a b a b a y a r a n
mabagal	m a b a g a l
mabagal-lumakad	m a b a g a l u m a k a d
mabahala	m a b a h a l a
mabait	m a b a q i t
mabalitaan	m a b a l i t a q a n
mabasa	m a b a s a
mabasag	m a b a s a g
mabawasan	m a b a w a s a n
mabayaran	m a b a y a r a n
mabibigat	m a b i b i g a t
mabibili	m a b i b i l i q
mabigat	m a b i g a t
mabigyan	m a b i g y a n
mabigyang-daan	m a b i g y a ng d a q a n
mabili	m a b i l i q
mabilis	m a b i l i s
mabilisang	m a b i l i s a ng
mabisang	m a b i s a ng
mabubuong	m a b u b u q o ng
mabubuti	m a b u b u t i
mabubuwal	m a b u b u w a l
mabuhay	m a b u h ay
mabuntis	m a b u n t i s
mabunyag	m a b u n y a g
mabuo	m a b u q o
mabusog	m a b u s o g
mabuti	m a b u t i
mabuting	m a b u t i ng
mac	m a k
macapagal	m a k a p a g a l
macapagal-arroyo	m a k a p a g a l q a r o y o q
mactan	m a k t a n
mactan-cebu	m a k t a n s e b u
madadaan	m a d a d a q a n
madalang	m a d a l a ng
madalas	m a d a l a s
madali	m a d a l i q
madaling	m a d a l i ng
madaling-araw	m a d a l i ng q a r aw
madilim	m a d i l i m
madla	m a d l a
madrasta	m a d er a s t a
madudukot	m a d u d u k o t
mag	m a g
mag-aahon	m a g q a q a h o n
mag-aangkat	m a g q a q a ng k a t
mag-aaral	m a g q a a r a l
mag-aaway	m a g q a q a w ay
mag-abala	m a g q a b a l a
mag-aral	m a g q a r a l
mag-asawa	m a g q a s a w a
mag-asawang	m a g q a s a w a ng
mag-cell	m a g q s e l
mag-damit	m a g q d a m i t
mag-iingay	m a g q i q i ng ay
mag-ikaanim	m a g q i k a q a n i m
mag-import	m a g q i m p o er t
mag-isa	m a g q i s a
mag-isang	m a g q i s a ng
mag-linis	m a g l i n i s
mag-sara	m a g q s a r a
mag-text	m a g t e k s t
mag-uugnay	m a g q u q u g n ay
magagamot	m a g a g a m o t
magaganap	m a g a g a n a p
magaganda't	m a g a g a n d a t
magagandang	m a g a g a n d a ng
magagawa	m a g a g a w a
magalang	m a g a l a ng
magaling	m a g a l i ng
maganap	m a g a n a p
maganda	m a g a n d a
magandang	m a g a n d a ng
magandang-loob	m a g a n d a ng l o q o b
magaspang	m a g a s p a ng
magbabalik	m a g b a b a l i k
magbabayad	m a g b a b a y a d
magbanggit	m a g b a ng g i t
magbanlaw	m a g b a ng l aw
magbasa	m a g b a s a
magbayad	m a g b a y a d
magbenta	m a g b e n t a
magbibigay	m a g b i b i g ay
magbibinhi	m a g b i b i n h i
magbibiyahe	m a g b i b i y a i
magbigay	m a g b i g ay
magbilang	m a g b i l a ng
magbiro	m a g b i r o
magbubuhat	m a g b u b u h a t
magbubukas	m a g b u b u k a s
magbuhat	m a g b u h a t
magbuhos	m a g b u h o s
magbunga't	m a g b u ng a t
magdadala	m a g d a d a l a
magdadasal	m a g d a d a s a l
magdagdag	m a g d a g d a g
magdala	m a g d a l a
magdaldalan	m a g d a l d a l a n
magdamag	m a g d a m a g
magdaragdag	m a g d a r a g d a g
magdasal	m a g d a s a l
magdirikit	m a g d i r i k i t
magdiwang	m a g d i w a ng
magdudulot	m a g d u d u l o t
magellan	m e jh e l a n
maghahabulan	m a g h a h a b u l a n
maghalo	m a g h a l o
maghangad	m a g h a ng a d
maghapon	m a g h a p o n
maghapong	m a g h a p o ng
maghapunan	m a g h a p u n a n
maghari	m a g h a r i
maghubad	m a g h u b a d
maghugas	m a g h u g a s
magibgay	m a g i b g ay
magiging	m a g i g i ng
maginaw	m a g i n aw
maging	m a g i ng
magising	m a g i s i ng
magkabalikan	m a g k a b a l i k a n
magkabigkis	m a g k a b i g k i s
magkahawig	m a g k a h a w i g
magkahiwa-hiwalay	m a g k a h i w a h i w a l ay
magkaiba	m a g k a q i b a
magkaisa	m a g k a q i s a
magkaisang	m a g k a q i s a ng
magkaisang-loob	m a g k a q i s a l o q o b
magkakaanak	m a g k a k a q a n a k
magkakapatid	m a g k a k a p a t i d
magkakaroon	m a g k a k a r o q o n
magkakaruon	m a g k a k a r o q o n
magkakasunod	m a g k a k a s u n o d
magkakaugnay	m a g k a k a q u g n a y
magkano	m a g k a n o
magkaparis	m a g k a p a r e s
magkapatid	m a g k a p a t i d
magkaron	m a g k a r o n
magkaroon	m a g k a r o q o n
magkaruon	m a g k a r o q o n
magkasama	m a g k a s a m a
magkasing-tanda	m a g k a s i ng t a n d a
magkasingtulad	m a g k a s i ng t u l a d
magkatrabaho	m a g k a t r a b a h o q
magkaugnay	m a g k a q u g n a y
magkikita	m a g k i k i t a
magkita	m a g k i t a q
magkulang	m a g k u l a ng
magkupkop	m a g k u p k o p
magkuwento	m a g k w e n t o
maglabas	m a g l a b a s
maglalaan	m a g l a l a q a n
maglalabas	m a g l a l a b a s
maglalaro	m a g l a l a r o
maglaro	m a g l a r o
maglaya	m a g l a y a
maglinis	m a g l i n i s
magluto	m a g l u t o
magluwas	m a g l u w a s
magmahal	m a g m a h a l
magnanakaw	m a g n a n a k aw
magnanakaw-magnanakaw	m a g n a n a k aw q m a g n a n a k aw
magpa-beauty	m a g p a q b i y u t i
magpabili	m a g p a b i l i q
magpacheck-up	m a g p a ch e k q u p
magpadala	m a g p a d a l a
magpagod	m a g p a g o d
magpagupit	m a g p a g u p i t
magpahinga	m a g p a h i ng a
magpaiwan	m a g p a q i w a n
magpakailanman	m a g p a k ay l a n m a n
magpakatao	m a g p a k t aw
magpakonsulta	m a g p a k o n s u l t a
magpalit	m a g p a l i t
magpapahintulot	m a g p a p a h i n t u l o t
magpapalit	m a g p a p a l i t
magpapatuloy	m a g p a p a t u l oy
magpareserve	m a g p a r e s er v
magpasa	m a g p a s a
magpasalamat	m a g p a s a l a m a t
magpatingin	m a g p a t i ng i n
magpatubig	m a g p a t u b i g
magpatuloy	m a g p a t u l oy
magpatupad	m a g p a t u p a d
magpaturo	m a g p a t u r o
magpulong	m a g p u l o ng
magpulong-pulong	m a g p u l o ng p u l o ng
magpuputol	m a g p u p u t o l
magrenta	m a g r e n t a
magresulta	m a g r e s u l t a
magro-rolbak	m a g r o r o l b a k
magsabi	m a g s a b i
magsagawa	m a g s a g a w a
magsalita	m a g s a l i t a
magsama	m a g s a m a
magsama-sama	m a g s a m a q s a m a
magsanay	m a g s a n ay
magsara	m a g s a r a
magsasaka	m a g s a s a k a q
magsasaka-magsasaka	m a g s a s a k a q m a g s a s a k a q
magsasakang	m a g s a s a k a ng
magsasalita	m a g s a s a l i t a
magsasalo	m a g s a s a l o
magsasama	m a g s a s a m a
magsaya	m a g s a y a
magsikap	m a g s i k a p
magsimula	m a g s i m u l a
magsisi	m a g s i s i
magsisimula	m a g s i s i m u l a
magsitigil	m a g s i t i g i l
magsulat	m a g s u l a t
magsusulat	m a g s u s u l a t
magtago	m a g t a g o
magtagumpay	m a g t a g u m p ay
magtapon	m a g t a p o n
magtataas	m a g t a t a q a s
magtataksil	m a g t a t a k s i l
magtatayo	m a g t a t a y o q
magtayo	m a g t a y o q
magtiis	m a g t i q i s
magtingi	m a g t i ng i q
magtipon	m a g t i p o n
magtiwala	m a g t i w a l a
magtrabaho	m a g t r a b a h o q
magturo	m a g t u r o
magtutugon	m a g t u t u g o n
magtuturo	m a g t u t u r o
magugutom	m a g u g u t u m
magulang	m a g u l a ng
magulo	m a g u l o
magwatak-watak	m a g w a t a k q w a t a k
magwawasak	m a g w a w a s a k
mahaba	m a h a b a
mahabang	m a h a b a ng
mahaharot	m a h a h a r o t
mahal	m a h a l
mahalaga	m a h a l a g a
mahalagang	m a h a l a g a ng
mahalumigmig	m a h a l u m i g m i
mahangin	m a h a ng i n
mahapdi	m a h a p t i q
mahapding	m a h a p d i ng
mahigit	m a h i g i t
mahigpit	m a h i g p i t
mahihina't	m a h i h i n a t
mahihirap	m a h i h i r a p
mahihirapan	m a h i h i r a p a n
mahilig	m a h i l i g
mahina	m a h i n a
mahinto	m a h i n t o
mahirap	m a h i r a p
mahirapan	m a h i r a p a n
mahiwagang	m a h i w a g a ng
mahuli	m a h u l i q
mahulog	m a h u l o g
mahusay	m a h u s ay
maibsan	m a q i b s a n
maigi	m a q i g i
maihanap	m a q i h a n a p
maiingay	m a q i q i ng ay
maiisip	m a i q i s i p
maiiwan	m a q i w a n
maikli	m a q i k l i q
maikling	m a q i k l i ng
mailipat	m a q i l i p a t
mailuluwas	m a q i l u l u w a s
mainam	m a q i n a m
maingat	m a q i ng a t
maingay	m a q i ng ay
mainggitin	m a q i ng g i t i n
mainit	m a q i n i t
maintenance	m a q i n t e n a n s
maipagtanggol	m a q i p a g t a ng g o l
maipapayo	m a q i p a p a y o q
maipatupad	m a q i p a t u p a d
maipit	m a q i p i t
mairehistro	m a q e r e h i s t r o
mairerekomenda	m a q e r e r e k o m e n d a
mairrehistro	m a q i r e h i s t r o
mais	m a q i s
maisakatuparan	m a q i s a k a t u p a r a n
maisama	m a q i s a m a
maisasagawa	m a q i s a s a g a w a
maisip	m a q i s i p
maisulong	m a q i s u l o ng
maitatakwil	m a q i t a t a k w i l
maituturing	m a q i t u t u r i ng
maiwan	m a q i w a n
maiwasan	m a q i w a s a n
maiwasto	m a q i w a s t o
maka-apekto	m a k a q a p e k t o
maka-usap	m a k a q u s a p
makaakyat	m a k a q a k y a t
makaapekto	m a k a q a p e k t o
makababasa	m a k a b a b a s a
makabagong	m a k a b a g o ng
makabangon	m a k a b a ng o n
makabasa	m a k a b a s a
makabawi	m a k a b a w i
makabayan	m a k a b a y a n
makabubuting	m a k a b u b u t i ng
makabuluhan	m a k a b u l u h a n
makadalaan	m a k a d a l a q a n
makadiyos	m a k a jh o s
makagawa	m a k a g a w a
makagulapay	m a k a g u l a p ay
makahinga	m a k a h i ng a
makaikot	m a k a q i k o t
makaita	m a k a q i t a
makakaapekto	m a k a k a q a p e k t o
makakabasa	m a k a k a b a s a
makakabawi	m a k a k a b a w i
makakagawa	m a k a k a g a w a
makakahanap	m a k a k a h a n a p
makakain	m a k a k a q i n
makakapal	m a k a k a p a l
makakarating	m a k a k a r a t i ng
makakatulad	m a k a k a t u l a d
makakaya	m a k a k a y a
makakilos	m a k a k i l o s
makakuha	m a k a k u h a q
makalawa	m a k a l a w a
makalikha	m a k a l i k a
makalipas	m a k a l i p a s
makalumang	m a k a l u m a ng
makapag-uudyok	m a k a p a g q u d y o k
makapagbibigay	m a k a p a g b i b i g ay
makapagbigay	m a k a p a g b i g ay
makapaghiganti	m a k a p a g h i g a n t i
makapagigay	m a k a p a g i g ay
makapaglaro	m a k a p a g l a r o
makapagpatanggal	m a k a p a g p a t a ng g a l
makapagplano	m a k a p a g p l a n o
makapagsasabi	m a k a p a g s a s a b i
makapagtala	m a k a p a g t a l a
makapagtrabaho	m a k a p a g t r a b a h o q
makapal	m a k a p a l
makapamitas	m a k a p a m i t a s
makapamuno	m a k a p a m u n o
makaraan	m a k a r a q a n
makararamdam	m a k a r a r a m d a m
makararating	m a k a r a r a t i ng
makarating	m a k a r a t i ng
makasali	m a k a s a l i q
makasama	m a k a s a m a
makasasagot	m a k a s a s a g o t
makasuporta	m a k a s u p o er t a
makatayo	m a k a t a y o q
makati	m a k a t i
makatitipid	m a k a t i t i p i d
makatulong	m a k a t u l u ng
makatutulong	m a k a t u t u l o ng
makihalubilo	m a k i h a l u b i l o
makikipag-pulong	m a k i k i p a g p u l o ng
makikipag-sex	m a k i k i p a g q s e k s
makikisuyo	m a k i k i s u y o q
makikita	m a k i k i t a
makilala	m a k i l a l a
makilalang	m a k i l a l a ng
makinig	m a k i n i g
makipag-usap	m a k i p a g q u s a p
makipagkasundo	m a k i p a g k a s u n d o
makipagtalik	m a k i p a g t a l i k
makipagtulungan	m a k i p a g t u l u ng a n
makisig	m a k i s i g
makita	m a k i t a
makitang	m a k i t a ng
makitid	m a k i t i d
makitungo	m a k i t u ng o
makuha	m a k u h a q
makukuha	m a k u k u h a q
makulimlim	m a k u l i m l i m
malaba-nan	m a l a b a q n a n
malabis	m a l a b i s
malabon	m a l a b o n
malacaang	m a l a k a q a ng
malacanang	m a l a k a ny a ng
malaganap	m a l a g a n a p
malakanyang	m a l a k a n y a ng
malakas	m a l a k a s
malaki	m a l a k i
malaking	m a l a k i ng
malalakas	m a l a l a k a s
malalaki	m a l a l a k i
malalaki't	m a l a l a k i t
malalaking	m a l a l a k i ng
malalamig	m a l a l a m i g
malalim	m a l a l i m
malaman	m a l a m a n
malamang	m a l a m a ng
malamig	m a l a m i g
malangsang	m a l a n s a ng
malansang	m a l a n s a ng
malaong	m a l a q o ng
malapit	m a l a p i t
malate	m a l a t e
malay	m a l ay
malaya	m a l a y a
malayan	m a l a y a n
malayang	m a l a y a ng
malayo	m a l a y o q
malayong	m a l a y o ng
malaysia	m a l a y s i y a
malcolm	m a l k o l m
mali	m a l i
maliban	m a l i b a n
maligayang	m a l i g a y a ng
maligo	m a l i g o q
maliit	m a l i q i t
malikot	m a l i k o t
maliligo	m a l i l i g o q
maliliit	m a l i l i q i t
malimit	m a l i m i t
malinaw	m a l i n aw
malinawan	m a l i n a w a n
maling	m a l i ng
malinis	m a l i n i s
maliwanag	m a l i w a n a g
malkling	m o k l i ng
mall	m o l
malls	m o l s
malo	m a l o
maluat	m a l u w a t
malungkot	m a l u ng k o t
malunod	m a l u n o d
malusog	m a l u s o g
maluto'y	m a l u t oy
mama	m a m a
mama-mama	m a m a q m a m a
mamahalin	m a m a h a l i n
